ANNEE;REG;A21;NB_UL
2015;93;L;28571
2016;52;G;33649
2015;28;R;5382
2020;27;M;14935
2015;53;L;16079
2014;75;L;32663
2018;75;L;33339
2015;94;C;1608
2014;84;G;85592
2016;93;G;70507
2020;84;F;79322
2014;93;S;22332
2014;52;L;17893
2019;93;J;12007
2017;84;C;32865
2016;53;L;16005
2018;28;J;3595
2017;32;S;16743
2016;76;L;30447
2016;24;G;23947
2019;76;M;46706
2014;24;F;17975
2017;76;G;70111
2016;44;L;20807
2014;52;E;818
2014;24;E;626
2014;28;E;767
2014;32;E;1218
2014;44;E;1636
2014;76;E;1115
2015;75;E;1183
2016;44;E;1759
2016;11;E;1269
2016;24;E;632
2017;11;E;1326
2017;75;E;1109
2018;76;E;1088
2018;28;E;717
2018;84;E;1736
2018;75;E;1154
2018;27;E;704
2018;24;E;645
2019;53;E;609
2019;28;E;689
2019;84;E;1777
2019;76;E;1089
2019;52;E;760
2020;44;E;1626
2020;53;E;620
2020;76;E;1073
2020;32;E;1142
2020;11;E;1542
2020;27;E;736
2021;28;E;727
2021;53;E;631
2021;32;E;1191
2021;76;E;1162
2021;24;F;20066
2017;53;G;30253
2015;76;N;16186
2015;93;M;41530
2018;53;M;18633
2014;76;C;20654
2014;44;C;17207
2015;76;M;36428
2014;76;G;68000
2014;84;M;49923
2014;11;M;163529
2018;76;G;72112
2018;75;F;55293
2015;75;C;22451
2016;24;Q;13687
2016;93;I;28216
2015;93;C;18798
2016;84;L;42852
2014;93;F;55038
2018;11;G;129181
2014;75;G;66131
2014;27;L;12038
2015;28;G;30062
2016;52;F;24486
2021;76;F;70009
2015;84;G;86790
2016;53;F;23268
2014;27;M;10943
2014;93;M;39652
2017;75;N;17625
2018;76;I;29097
2014;75;F;52717
2017;52;L;18097
2021;53;N;11786
2014;93;C;18634
2014;28;F;20936
2019;76;F;63740
2019;32;F;32656
2019;27;G;30237
2017;44;M;25894
2015;76;F;58942
2018;84;P;30235
2016;53;Q;24396
2015;84;M;52517
2014;32;M;22754
2020;76;N;23459
2014;32;P;6506
2014;76;S;22810
2015;24;F;17883
2014;52;M;17291
2016;53;M;16142
2014;27;S;9111
2016;27;G;29003
2018;93;J;11055
2014;53;F;23254
2014;76;N;15442
2015;27;G;29030
2020;93;M;55681
2019;75;N;21147
2017;52;M;20536
2015;53;F;23260
2021;24;C;9973
2018;76;F;61557
2014;76;D;3984
2018;52;F;25293
2014;84;Q;54416
2017;84;M;58499
2019;52;G;35306
2019;53;R;7603
2014;76;I;25935
2019;93;R;14488
2018;93;M;48743
2016;93;M;43167
2019;27;I;10322
2014;76;F;58449
2021;27;D;1431
2015;84;S;27672
2021;11;G;144780
2019;44;S;20469
2020;32;G;51406
2020;27;G;30808
2018;52;G;34575
2014;93;G;68873
2016;75;F;52952
2016;32;L;16703
2018;75;G;70194
2015;11;H;38739
2018;27;K;6181
2018;44;G;53848
2015;93;S;22761
2015;53;I;13571
2014;27;F;19393
2021;32;R;9602
2015;93;F;55797
2017;93;G;70428
2017;27;C;10667
2021;75;G;76307
2018;32;I;16596
2018;53;S;11303
2014;52;G;32400
2014;76;P;13384
2019;93;G;74288
2018;84;G;89771
2020;93;S;28976
2021;44;G;58021
2015;11;M;171849
2018;93;C;19923
2017;28;R;5565
2018;76;M;43145
2020;94;C;1932
2014;28;G;29804
2015;75;F;52892
2017;11;M;189031
2018;84;N;26184
2015;75;G;67185
2014;27;C;10586
2018;93;G;72315
2016;52;I;12127
2019;93;C;20830
2014;44;L;21434
2016;84;P;26917
2019;75;F;56830
2019;52;L;19129
2020;11;S;44130
2018;01;N;2993
2016;11;S;35448
2015;44;G;52260
2018;84;M;64735
2016;32;P;7068
2014;11;C;29158
2018;11;S;38587
2020;75;N;23099
2016;11;R;44379
2014;27;N;5332
2014;94;N;1372
2014;11;H;34627
2015;93;R;11568
2020;44;G;55687
2014;84;R;15936
2018;84;C;33743
2016;76;I;27519
2016;76;F;59198
2016;32;C;13901
2014;11;P;28781
2014;75;M;30747
2017;32;D;894
2020;44;Q;39991
2017;93;M;44842
2015;27;I;9735
2017;93;F;56290
2017;93;C;19200
2021;76;M;55999
2014;76;M;34574
2016;27;F;19374
2014;24;G;23260
2021;44;C;20410
2016;11;G;126784
2017;84;F;69608
2017;27;G;29149
2018;93;N;24556
2020;76;G;74679
2020;84;N;31964
2018;75;M;39513
2018;93;F;58111
2017;75;F;53135
2017;28;G;30001
2015;75;I;24042
2017;32;M;25623
2014;27;G;28450
2016;76;P;15072
2014;32;L;16839
2014;75;S;23670
2015;11;L;51652
2017;76;M;39593
2014;11;F;80974
2021;93;M;62317
2015;84;F;68649
2020;28;P;5587
2020;75;G;72595
2017;32;G;47236
2018;24;N;6781
2017;84;P;27523
2016;44;R;8221
