business_failure_code_bq;region_name;period_scope;sector_name;business_failure_code;business_failure_description
DIREN_M_D01_DE_UL_DF_03_N_ZZ_TT;Ain;12 mois;Tous secteurs;DIREN.M.D01.DE.UL.DF.03.N.ZZ.TT;Ain - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D02_DE_UL_DF_03_N_ZZ_TT;Aisne;12 mois;Tous secteurs;DIREN.M.D02.DE.UL.DF.03.N.ZZ.TT;Aisne - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D03_DE_UL_DF_03_N_ZZ_TT;Allier;12 mois;Tous secteurs;DIREN.M.D03.DE.UL.DF.03.N.ZZ.TT;Allier - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D04_DE_UL_DF_03_N_ZZ_TT;Alpes-de-Haute-Provence;12 mois;Tous secteurs;DIREN.M.D04.DE.UL.DF.03.N.ZZ.TT;Alpes-de-Haute-Provence - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D05_DE_UL_DF_03_N_ZZ_TT;Hautes-Alpes;12 mois;Tous secteurs;DIREN.M.D05.DE.UL.DF.03.N.ZZ.TT;Hautes-Alpes - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D06_DE_UL_DF_03_N_ZZ_TT;Alpes-Maritimes;12 mois;Tous secteurs;DIREN.M.D06.DE.UL.DF.03.N.ZZ.TT;Alpes-Maritimes - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D07_DE_UL_DF_03_N_ZZ_TT;Ardèche;12 mois;Tous secteurs;DIREN.M.D07.DE.UL.DF.03.N.ZZ.TT;Ardèche - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D08_DE_UL_DF_03_N_ZZ_TT;Ardennes;12 mois;Tous secteurs;DIREN.M.D08.DE.UL.DF.03.N.ZZ.TT;Ardennes - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D09_DE_UL_DF_03_N_ZZ_TT;Ariège;12 mois;Tous secteurs;DIREN.M.D09.DE.UL.DF.03.N.ZZ.TT;Ariège - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D10_DE_UL_DF_03_N_ZZ_TT;Aube;12 mois;Tous secteurs;DIREN.M.D10.DE.UL.DF.03.N.ZZ.TT;Aube - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D11_DE_UL_DF_03_N_ZZ_TT;Aude;12 mois;Tous secteurs;DIREN.M.D11.DE.UL.DF.03.N.ZZ.TT;Aude - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D12_DE_UL_DF_03_N_ZZ_TT;Aveyron;12 mois;Tous secteurs;DIREN.M.D12.DE.UL.DF.03.N.ZZ.TT;Aveyron - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D13_DE_UL_DF_03_N_ZZ_TT;Bouches-du-Rhône;12 mois;Tous secteurs;DIREN.M.D13.DE.UL.DF.03.N.ZZ.TT;Bouches-du-Rhône - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D14_DE_UL_DF_03_N_ZZ_TT;Calvados;12 mois;Tous secteurs;DIREN.M.D14.DE.UL.DF.03.N.ZZ.TT;Calvados - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_D15_DE_UL_DF_03_N_ZZ_TT;Cantal;12 mois;Tous secteurs;DIREN.M.D15.DE.UL.DF.03.N.ZZ.TT;Cantal - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
