ANNEE,defaillances_annee,NB_UL,region,sector,taux
2014,1630,19559,Auvergne-Rhône-Alpes,Activités financières et d'assurance,0.08333759395
2021,5300,89570,Île-de-France,Transports et entreposage,0.05917159763
2020,5040,78632,Île-de-France,Transports et entreposage,0.06409604232
2019,8820,68013,Île-de-France,Transports et entreposage,0.1296810904
2018,8800,56968,Île-de-France,Transports et entreposage,0.1544726864
2017,6930,48394,Île-de-France,Transports et entreposage,0.1431995702
2016,6550,44899,Île-de-France,Transports et entreposage,0.1458829818
2015,5760,38739,Île-de-France,Transports et entreposage,0.1486873693
2014,4820,34627,Île-de-France,Transports et entreposage,0.1391977359
2021,3490,89304,Île-de-France,Information et communication,0.03907999642
2020,4080,81919,Île-de-France,Information et communication,0.04980529547
2019,5750,76439,Île-de-France,Information et communication,0.07522338073
2018,5970,70654,Île-de-France,Information et communication,0.08449627763
2017,5930,64876,Île-de-France,Information et communication,0.09140514212
2016,6510,61876,Île-de-France,Information et communication,0.1052104208
2015,6690,59249,Île-de-France,Information et communication,0.1129132981
2014,6570,56719,Île-de-France,Information et communication,0.1158342002
2021,5250,52115,Île-de-France,Hébergement et restauration,0.1007387508
2020,7960,50941,Île-de-France,Hébergement et restauration,0.1562592018
2019,10850,49675,Île-de-France,Hébergement et restauration,0.2184197282
2018,11330,47510,Île-de-France,Hébergement et restauration,0.2384761103
2017,10330,46347,Île-de-France,Hébergement et restauration,0.2228838976
2016,11360,45566,Île-de-France,Hébergement et restauration,0.2493086951
2015,11470,44473,Île-de-France,Hébergement et restauration,0.2579092933
2014,9770,43456,Île-de-France,Hébergement et restauration,0.2248251105
2021,14860,98891,Île-de-France,Construction,0.150266455
2020,14500,93000,Île-de-France,Construction,0.1559139785
2019,27930,88838,Île-de-France,Construction,0.3143924897
2018,31330,84529,Île-de-France,Construction,0.3706420282
2017,30820,82486,Île-de-France,Construction,0.373639163
2016,33340,81905,Île-de-France,Construction,0.4070569562
2015,36550,81876,Île-de-France,Construction,0.4464067614
2014,32440,80974,Île-de-France,Construction,0.400622422
2021,2330,65704,Île-de-France,Activités immobilières,0.03546207232
2020,1540,61774,Île-de-France,Activités immobilières,0.02492958202
2019,2410,59065,Île-de-France,Activités immobilières,0.04080250571
2018,2400,56476,Île-de-France,Activités immobilières,0.04249592747
2017,2500,53776,Île-de-France,Activités immobilières,0.04648914014
2016,3660,52676,Île-de-France,Activités immobilières,0.06948135773
2015,3430,51652,Île-de-France,Activités immobilières,0.06640594749
2014,3340,50851,Île-de-France,Activités immobilières,0.06568209081
2021,1450,60067,Île-de-France,Activités financières et d'assurance,0.02413971066
2020,1780,55169,Île-de-France,Activités financières et d'assurance,0.03226449637
2019,2180,51515,Île-de-France,Activités financières et d'assurance,0.04231777152
2018,2430,48278,Île-de-France,Activités financières et d'assurance,0.05033348523
2017,1940,45529,Île-de-France,Activités financières et d'assurance,0.04261020449
2016,2420,43341,Île-de-France,Activités financières et d'assurance,0.05583627512
2015,2530,41402,Île-de-France,Activités financières et d'assurance,0.06110815903
2014,2630,38719,Île-de-France,Activités financières et d'assurance,0.06792530799
2021,340,7341,Pays de la Loire,Transports et entreposage,0.04631521591
2020,290,5678,Pays de la Loire,Transports et entreposage,0.05107432194
2019,490,4932,Pays de la Loire,Transports et entreposage,0.09935117599
2018,550,4186,Pays de la Loire,Transports et entreposage,0.1313903488
2017,470,3639,Pays de la Loire,Transports et entreposage,0.1291563616
2016,580,3428,Pays de la Loire,Transports et entreposage,0.1691948658
2015,540,3238,Pays de la Loire,Transports et entreposage,0.1667696109
2014,690,3177,Pays de la Loire,Transports et entreposage,0.2171860246
2021,280,7797,Pays de la Loire,Information et communication,0.03591124792
2020,290,6673,Pays de la Loire,Information et communication,0.04345871422
2019,510,6025,Pays de la Loire,Information et communication,0.0846473029
2018,490,5432,Pays de la Loire,Information et communication,0.09020618557
2017,500,5016,Pays de la Loire,Information et communication,0.09968102073
